Date,Open,High,Low,Close,Adj Close,Volume,Name
2017-07-10,51.47999954223633,51.5,50.7400016784668,51.0,35.085723876953125,7057200,OKE
2017-07-11,51.029998779296875,51.29999923706055,50.529998779296875,50.880001068115234,35.00316619873047,4107300,OKE
2017-07-12,51.4900016784668,52.400001525878906,51.279998779296875,52.04999923706055,35.80807876586914,3737500,OKE
2017-07-13,52.189998626708984,52.77000045776367,51.97999954223633,52.459999084472656,36.09013748168945,2813200,OKE
2017-07-14,52.68000030517578,53.38999938964844,52.470001220703125,53.15999984741211,36.57170104980469,2082000,OKE
2017-07-17,53.15999984741211,53.65999984741211,53.09000015258789,53.56999969482422,36.853763580322266,4586300,OKE
2017-07-18,53.95000076293945,53.97999954223633,53.08000183105469,53.56999969482422,36.853763580322266,3650900,OKE
2017-07-19,53.65999984741211,54.40999984741211,53.400001525878906,54.38999938964844,37.41788864135742,4453600,OKE
2017-07-20,54.810001373291016,55.36000061035156,54.45000076293945,54.790000915527344,37.69307327270508,4916600,OKE
2017-07-21,54.70000076293945,54.95000076293945,54.29999923706055,54.45000076293945,37.45916748046875,2554600,OKE
2017-07-24,54.52000045776367,55.060001373291016,54.43000030517578,54.880001068115234,37.7549934387207,2636700,OKE
2017-07-25,55.63999938964844,55.97999954223633,55.54999923706055,55.779998779296875,38.374149322509766,2912200,OKE
2017-07-26,55.9900016784668,56.40999984741211,55.560001373291016,55.59000015258789,38.24344253540039,2474500,OKE
2017-07-27,55.59000015258789,56.619998931884766,55.59000015258789,56.619998931884766,38.9520263671875,2237600,OKE
2017-07-28,56.61000061035156,57.25,56.45000076293945,56.459999084472656,38.84195327758789,2403800,OKE
2017-07-31,56.470001220703125,56.58000183105469,55.88999938964844,56.56999969482422,38.91762924194336,2833400,OKE
2017-08-01,56.56999969482422,56.84000015258789,56.04999923706055,56.72999954223633,39.02770233154297,3670400,OKE
2017-08-02,55.86000061035156,56.209999084472656,55.0,55.36000061035156,38.08521270751953,3010200,OKE
2017-08-03,54.5,54.77000045776367,53.790000915527344,53.849998474121094,37.55173873901367,2803600,OKE
2017-08-04,53.95000076293945,54.38999938964844,53.45000076293945,53.529998779296875,37.32859802246094,2805000,OKE
2017-08-07,53.20000076293945,53.29999923706055,52.470001220703125,53.06999969482422,37.0078125,3561500,OKE
2017-08-08,52.79999923706055,53.41999816894531,52.25,52.54999923706055,36.64520263671875,2568600,OKE
2017-08-09,52.689998626708984,53.0,52.470001220703125,52.7599983215332,36.79164505004883,2455000,OKE
2017-08-10,53.0,53.11000061035156,52.11000061035156,52.209999084472656,36.408103942871094,2783300,OKE
2017-08-11,52.060001373291016,52.439998626708984,51.900001525878906,52.40999984741211,36.547576904296875,2237900,OKE
2017-08-14,52.72999954223633,53.189998626708984,52.279998779296875,52.31999969482422,36.48481750488281,2690400,OKE
2017-08-15,52.31999969482422,52.380001068115234,50.689998626708984,50.95000076293945,35.529457092285156,5037000,OKE
2017-08-16,51.060001373291016,51.2400016784668,50.279998779296875,50.61000061035156,35.292362213134766,2645200,OKE
